date,areaType,areaCode,areaName,newCasesByPublishDate
"2020-07-18",nation,E92000001,England,796
"2020-07-17",nation,E92000001,England,635
"2020-07-16",nation,E92000001,England,597
"2020-07-15",nation,E92000001,England,506
"2020-07-14",nation,E92000001,England,372
"2020-07-13",nation,E92000001,England,497
"2020-07-12",nation,E92000001,England,615
"2020-07-11",nation,E92000001,England,806
"2020-07-10",nation,E92000001,England,480
"2020-07-09",nation,E92000001,England,617
"2020-07-08",nation,E92000001,England,606
"2020-07-07",nation,E92000001,England,572
"2020-07-06",nation,E92000001,England,331
"2020-07-05",nation,E92000001,England,492
"2020-07-04",nation,E92000001,England,579
"2020-07-03",nation,E92000001,England,502
"2020-07-02",nation,E92000001,England,523
"2020-07-01",nation,E92000001,England,177
"2020-06-30",nation,E92000001,England,196
"2020-06-29",nation,E92000001,England,99
"2020-06-28",nation,E92000001,England,142
"2020-06-27",nation,E92000001,England,192
"2020-06-26",nation,E92000001,England,175
"2020-06-25",nation,E92000001,England,261
"2020-06-24",nation,E92000001,England,107
"2020-06-23",nation,E92000001,England,210
"2020-06-22",nation,E92000001,England,178
"2020-06-21",nation,E92000001,England,215
"2020-06-20",nation,E92000001,England,324
"2020-06-19",nation,E92000001,England,323
"2020-06-18",nation,E92000001,England,281
"2020-06-17",nation,E92000001,England,252
"2020-06-16",nation,E92000001,England,252
"2020-06-15",nation,E92000001,England,219
"2020-06-14",nation,E92000001,England,292
"2020-06-13",nation,E92000001,England,372
"2020-06-12",nation,E92000001,England,392
"2020-06-11",nation,E92000001,England,304
"2020-06-10",nation,E92000001,England,63
"2020-06-09",nation,E92000001,England,651
"2020-06-08",nation,E92000001,England,92
"2020-06-07",nation,E92000001,England,228
"2020-06-06",nation,E92000001,England,422
"2020-06-05",nation,E92000001,England,451
"2020-06-04",nation,E92000001,England,431
"2020-06-03",nation,E92000001,England,462
"2020-06-02",nation,E92000001,England,444
"2020-06-01",nation,E92000001,England,294
"2020-05-31",nation,E92000001,England,320
"2020-05-30",nation,E92000001,England,715
"2020-05-29",nation,E92000001,England,560
"2020-05-28",nation,E92000001,England,519
"2020-05-27",nation,E92000001,England,609
"2020-05-26",nation,E92000001,England,492
"2020-05-25",nation,E92000001,England,494
"2020-05-24",nation,E92000001,England,584
"2020-05-23",nation,E92000001,England,979
"2020-05-22",nation,E92000001,England,1083
"2020-05-21",nation,E92000001,England,854
"2020-05-20",nation,E92000001,England,824
"2020-05-19",nation,E92000001,England,857
"2020-05-18",nation,E92000001,England,816
"2020-05-17",nation,E92000001,England,788
"2020-05-16",nation,E92000001,England,1136
"2020-05-15",nation,E92000001,England,1112
"2020-05-14",nation,E92000001,England,1189
"2020-05-13",nation,E92000001,England,1146
"2020-05-12",nation,E92000001,England,1067
"2020-05-11",nation,E92000001,England,891
"2020-05-10",nation,E92000001,England,1007
"2020-05-09",nation,E92000001,England,1349
"2020-05-08",nation,E92000001,England,1694
"2020-05-07",nation,E92000001,England,2133
"2020-05-06",nation,E92000001,England,1611
"2020-05-05",nation,E92000001,England,1842
"2020-05-04",nation,E92000001,England,1485
"2020-05-03",nation,E92000001,England,2019
"2020-05-02",nation,E92000001,England,2228
"2020-05-01",nation,E92000001,England,2501
"2020-04-30",nation,E92000001,England,2484
"2020-04-29",nation,E92000001,England,1403
"2020-04-28",nation,E92000001,England,1989
"2020-04-27",nation,E92000001,England,2264
"2020-04-26",nation,E92000001,England,2152
"2020-04-25",nation,E92000001,England,2826
"2020-04-24",nation,E92000001,England,3004
"2020-04-23",nation,E92000001,England,3084
"2020-04-22",nation,E92000001,England,3020
"2020-04-21",nation,E92000001,England,3087
"2020-04-20",nation,E92000001,England,2401
"2020-04-19",nation,E92000001,England,3607
"2020-04-18",nation,E92000001,England,3548
"2020-04-17",nation,E92000001,England,3985
"2020-04-16",nation,E92000001,England,3118
"2020-04-15",nation,E92000001,England,3188
"2020-04-14",nation,E92000001,England,3854
"2020-04-13",nation,E92000001,England,2999
"2020-04-12",nation,E92000001,England,3672
"2020-04-11",nation,E92000001,England,3841
"2020-04-10",nation,E92000001,England,4263
"2020-04-09",nation,E92000001,England,3798
"2020-04-08",nation,E92000001,England,4788
"2020-04-07",nation,E92000001,England,2978
"2020-04-06",nation,E92000001,England,3176
"2020-04-05",nation,E92000001,England,5107
"2020-04-04",nation,E92000001,England,2910
"2020-04-03",nation,E92000001,England,3576
"2020-04-02",nation,E92000001,England,3583
"2020-04-01",nation,E92000001,England,3630
"2020-03-31",nation,E92000001,England,2414
"2020-03-30",nation,E92000001,England,2107
"2020-03-29",nation,E92000001,England,2060
"2020-03-28",nation,E92000001,England,2139
"2020-03-27",nation,E92000001,England,2506
"2020-03-26",nation,E92000001,England,1809
"2020-03-25",nation,E92000001,England,1130
"2020-03-24",nation,E92000001,England,1258
"2020-03-23",nation,E92000001,England,793
"2020-03-22",nation,E92000001,England,535
"2020-03-21",nation,E92000001,England,873
"2020-03-20",nation,E92000001,England,628
"2020-03-19",nation,E92000001,England,574
"2020-03-18",nation,E92000001,England,625
"2020-03-17",nation,E92000001,England,361
"2020-03-16",nation,E92000001,England,97
"2020-03-15",nation,E92000001,England,253
"2020-03-14",nation,E92000001,England,201
"2020-03-13",nation,E92000001,England,159
"2020-03-12",nation,E92000001,England,99
"2020-03-11",nation,E92000001,England,63
"2020-03-10",nation,E92000001,England,46
"2020-03-09",nation,E92000001,England,40
"2020-03-08",nation,E92000001,England,58
"2020-03-07",nation,E92000001,England,39
"2020-03-06",nation,E92000001,England,39
"2020-03-05",nation,E92000001,England,25
"2020-03-04",nation,E92000001,England,32
"2020-03-03",nation,E92000001,England,11
"2020-03-02",nation,E92000001,England,4
"2020-03-01",nation,E92000001,England,12
"2020-02-29",nation,E92000001,England,3
"2020-02-28",nation,E92000001,England,5
"2020-02-27",nation,E92000001,England,0
"2020-02-26",nation,E92000001,England,0
"2020-02-25",nation,E92000001,England,0
"2020-02-24",nation,E92000001,England,4
"2020-02-23",nation,E92000001,England,0
"2020-02-22",nation,E92000001,England,0
"2020-02-21",nation,E92000001,England,0
"2020-02-20",nation,E92000001,England,0
"2020-02-19",nation,E92000001,England,0
"2020-02-18",nation,E92000001,England,0
"2020-02-17",nation,E92000001,England,0
"2020-02-16",nation,E92000001,England,0
"2020-02-15",nation,E92000001,England,0
"2020-02-14",nation,E92000001,England,0
"2020-02-13",nation,E92000001,England,1
"2020-02-12",nation,E92000001,England,0
"2020-02-11",nation,E92000001,England,0
"2020-02-10",nation,E92000001,England,4
"2020-02-09",nation,E92000001,England,1
"2020-02-08",nation,E92000001,England,0
"2020-02-07",nation,E92000001,England,0
"2020-02-06",nation,E92000001,England,1
"2020-02-05",nation,E92000001,England,0
"2020-02-04",nation,E92000001,England,0
"2020-02-03",nation,E92000001,England,0
"2020-02-02",nation,E92000001,England,0
"2020-02-01",nation,E92000001,England,0
"2020-01-31",nation,E92000001,England,2
"2020-01-30",nation,E92000001,England,0
"2020-01-29",nation,E92000001,England,0
"2020-01-28",nation,E92000001,England,0
"2020-01-27",nation,E92000001,England,0
"2020-01-26",nation,E92000001,England,0
"2020-01-25",nation,E92000001,England,0
"2020-01-24",nation,E92000001,England,0
"2020-01-23",nation,E92000001,England,0
"2020-01-22",nation,E92000001,England,0
"2020-01-21",nation,E92000001,England,0
"2020-01-20",nation,E92000001,England,0
"2020-01-19",nation,E92000001,England,0
"2020-01-18",nation,E92000001,England,0
"2020-01-17",nation,E92000001,England,0
"2020-01-16",nation,E92000001,England,0
"2020-01-15",nation,E92000001,England,0
"2020-01-14",nation,E92000001,England,0
"2020-01-13",nation,E92000001,England,0
"2020-01-12",nation,E92000001,England,0
"2020-01-11",nation,E92000001,England,0
"2020-01-10",nation,E92000001,England,0
"2020-01-09",nation,E92000001,England,0
"2020-01-08",nation,E92000001,England,0
"2020-01-07",nation,E92000001,England,0
"2020-01-06",nation,E92000001,England,0
"2020-01-05",nation,E92000001,England,0
"2020-01-04",nation,E92000001,England,0
"2020-01-03",nation,E92000001,England,0
